Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
72,"Sunday, Jun 26",boxscore,TOR,@,MIL,L,3,10,,40-32,3,12.5,Gustave,Berríos,,2:51,D,"35,503",0.84,--,
73,"Monday, Jun 27",boxscore,TOR,,BOS,W,7,2,,41-32,3,12.5,Gausman,Seabold,,2:59,N,"25,498",0.96,+,
74,"Tuesday, Jun 28",boxscore,TOR,,BOS,W-wo,6,5,,42-32,2,12.5,Romano,Danish,,3:21,N,"27,140",0.94,++,
75,"Wednesday, Jun 29",boxscore,TOR,,BOS,L,5,6,10,42-33,3,13.5,Strahm,Phelps,,3:54,N,"27,601",0.96,-,
76,"Thursday, Jun 30",boxscore,TOR,,TBR,W,4,1,,43-33,2,12.5,Kikuchi,Yarbrough,Cimber,2:55,N,"22,987",0.94,+,
77,"Friday, Jul 1",boxscore,TOR,,TBR,W,9,2,,44-33,2,12,Berríos,Kluber,,2:58,D,"44,445",0.93,++,
78,"Saturday, Jul 2 (1)",boxscore,TOR,,TBR,L,2,6,,44-34,2,14,McClanahan,Lawrence,,2:47,D,"39,426",0.89,-,
79,"Saturday, Jul 2 (2)",boxscore,TOR,,TBR,L,5,11,,44-35,2,14,Garza,Hatch,,2:41,N,"24,180",0.96,--,
80,"Sunday, Jul 3",boxscore,TOR,,TBR,L,3,7,,44-36,3,14,Baz,Stripling,Adam,3:27,D,"35,757",0.96,---,
81,"Monday, Jul 4",boxscore,TOR,@,OAK,L,1,5,,44-37,3,14.5,Irvin,Manoah,,2:27,N,"24,403",0.84,----,
82,"Tuesday, Jul 5",boxscore,TOR,@,OAK,L,3,5,,44-38,4,14.5,Martinez,Kikuchi,Trivino,2:40,N,"4,846",0.84,-----,
83,"Wednesday, Jul 6",boxscore,TOR,@,OAK,W,2,1,,45-38,4,14.5,Cimber,Acevedo,Romano,2:39,D,"6,330",0.81,+,
84,"Thursday, Jul 7",boxscore,TOR,@,SEA,L,3,8,,45-39,4,15.5,Gonzales,Banda,,2:41,N,"24,998",0.94,-,
