Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled\
121,Saturday Aug 20,boxscore,BOS,@,BAL,W,4,3,,60-61,5,13.0,Wacha,Bradish,Whitlock,3:04,D,34939,.47,+,\
122,Sunday Aug 21,boxscore,BOS,@,BAL,L,3,5,,60-62,5,14.0,P\'e9rez,Barnes,Bautista,3:23,N,2467,.57,-,\
123,Tuesday Aug 23,boxscore,BOS,,TOR,L,3,9,,60-63,5,15.5,Stripling,Winckowski,,3:18,N,30963,.47,--,\
124,Wednesday Aug 24,boxscore,BOS,,TOR,L,2,3,10,60-64,5,16.0,Cimber,Brasier,Romano,3:12,N,31840,.33,---,\
125,Thursday Aug 25,boxscore,BOS,,TOR,L,5,6,10,60-65,5,17.0,Romano,Schreiber,,4:22,N,30527,.25,----,\
126,Friday Aug 26,boxscore,BOS,,TBR,W,9,8,,61-65,5,17.0,Wacha,Yarbrough,Whitlock,3:30,N,30095,.16,+,\
127,Saturday Aug 27,boxscore,BOS,,TBR,W,5,1,,62-65,5,16.0,Hill,Springs,Schreiber,2:24,D,34036,.18,++,\
128,Sunday Aug 28,boxscore,BOS,,TBR,L,4,12,,62-66,5,16.0,Kluber,Pivetta,,3:14,D,29116,.25,-,\
129,Monday Aug 29,boxscore,BOS,@,MIN,L,2,4,,62-67,5,16.0,Thielbar,Bello,L\'f3pez,3:27,N,19581,.19,--,\
130,Tuesday Aug 30,boxscore,BOS,@,MIN,L,5,10,,62-68,5,17.0,Fulmer,Crawford,,3:27,N,19909,.12,---,\
131,Wednesday Aug 31,boxscore,BOS,@,MIN,W,6,5,,63-68,5,16.0,Wacha,Ryan,Barnes,3:19,N,19337,.08,+,\
132,Thursday Sep 1,boxscore,BOS,,TEX,W-wo,9,8,,64-68,5,15.5,Familia,Hern\'e1ndez,,3:41,N,31340,.08,++,\
133,Friday Sep 2,boxscore,BOS,,TEX,W,9,1,,65-68,5,14.5,Danish,Keuchel,,3:11,N,31628,.08,+++,\
134,Saturday Sep 3,boxscore,BOS,,TEX,W,5,3,,66-68,5,13.5,Bello,Santana,Schreiber,3:12,D,31474,.10,++++,\
135,Sunday Sep 4,boxscore,BOS,,TEX,W,5,2,,67-68,5,13.5,Ort,Dunning,Schreiber,3:07,D,32422,.08,+++++,\
136,Monday Sep 5,boxscore,BOS,@,TBR,L,3,4,,67-69,5,14.5,Faucher,Familia,Fairbanks,3:00,D,12264,.15,-,\
137,Tuesday Sep 6,boxscore,BOS,@,TBR,L,4,8,,67-70,5,15.0,Cleavinger,Hill,,2:37,N,8069,.09,--,\
138,Wednesday Sep 7,boxscore,BOS,@,TBR,L,0,1,,67-71,5,16.5,Chirinos,Pivetta,Fairbanks,2:51,N,8696,.05,---,\
139,Friday Sep 9,boxscore,BOS,@,BAL,L,2,3,,67-72,5,16.0,Reed,Bello,Tate,3:29,N,16451,.02,----,\
140,Saturday Sep 10,boxscore,BOS,@,BAL,W,17,4,,68-72,5,16.0,Wacha,Lyles,,3:25,N,26050,.01,+,\
141,Sunday Sep 11,boxscore,BOS,@,BAL,W,1,0,,69-72,5,16.0,Hill,Bradish,Barnes,2:57,D,16030,.01,++,\
142,Tuesday Sep 13,boxscore,BOS,,NYY,L,6,7,10,69-73,5,17.0,Holmes,Familia,Peralta,3:37,N,34250,.02,-,\
143,Wednesday Sep 14,boxscore,BOS,,NYY,L,3,5,,69-74,5,18.0,Cortes,Bello,Holmes,3:07,N,36581,.01,--,\
144,Friday Sep 16,boxscore,BOS,,KCR,W,2,1,,70-74,5,17.0,Whitlock,Coleman,Strahm,2:38,N,33181,.00,+,\
145,Saturday Sep 17,boxscore,BOS,,KCR,L,0,9,,70-75,5,17.0,Singer,Hill,,2:39,D,34925,.01,-,\
146,Sunday Sep 18,boxscore,BOS,,KCR,W,13,3,,71-75,5,17.0,Pivetta,Bubic,,3:32,D,31199,.00,+,\
147,Tuesday Sep 20,boxscore,BOS,@,CIN,W,5,3,,72-75,5,17.0,Bello,Lodolo,Schreiber,3:27,N,16698,.00,++,\
148,Wednesday Sep 21,boxscore,BOS,@,CIN,L,1,5,,72-76,5,18.0,Anderson,Seabold,D\'edaz,2:37,N,13074,.00,-,\
149,Thursday Sep 22,boxscore,BOS,@,NYY,L-wo,4,5,10,72-77,5,19.0,Holmes,Ort,,3:34,N,43123,.00,--,\
150,Friday Sep 23,boxscore,BOS,@,NYY,L,4,5,,72-78,5,20.0,Lo\'e1isiga,Strahm,,3:00,N,47346,.00,---,\
151,Saturday Sep 24,boxscore,BOS,@,NYY,L,5,7,,72-79,5,21.0,Luetge,Schreiber,Effross,3:25,D,47611,.00,----,\
152,Sunday Sep 25,boxscore,BOS,@,NYY,L,0,2,6,72-80,5,22.0,Cortes,Bello,,2:07,N,46707,.00,-----,\
153,Monday Sep 26,boxscore,BOS,,BAL,L,8,14,,72-81,5,22.0,Watkins,Seabold,,3:19,N,25634,.00,------,\
154,Tuesday Sep 27,boxscore,BOS,,BAL,W,13,9,,73-81,5,22.0,Strahm,Krehbiel,,3:57,N,30765,.00,+,\
155,Wednesday Sep 28,boxscore,BOS,,BAL,W,3,1,,74-81,5,22.0,Hill,Kremer,Barnes,2:39,N,33073,.00,++,\
156,Thursday Sep 29,boxscore,BOS,,BAL,W,5,3,,75-81,5,21.5,Kelly,Tate,Ort,3:00,D,29779,.00,+++,\
157,Friday Sep 30,boxscore,BOS,@,TOR,L,0,9,,75-82,5,21.5,Manoah,Pivetta,Kikuchi,3:04,N,37283,.00,-,\
158,Saturday Oct 1,boxscore,BOS,@,TOR,L,0,10,,75-83,5,22.5,Stripling,Bello,,3:09,D,44612,.00,--,\
159,Sunday Oct 2,boxscore,BOS,@,TOR,L,3,6,,75-84,5,22.5,Pop,Wacha,Romano,2:50,D,43877,.00,---,\
160,Monday Oct 3,boxscore,BOS,,TBR,W,4,3,,76-84,5,22.5,Schreiber,Herget,Barnes,2:35,N,26633,.00,+,\
161,Tuesday Oct 4,boxscore,BOS,,TBR,W,6,0,5,77-84,5,22.0,Eovaldi,Springs,,1:44,N,26477,.00,++,\
162,Wednesday Oct 5,boxscore,BOS,,TBR,W,6,3,,78-84,5,21.0,Bazardo,Fleming,Barnes,3:21,D,26695,.00,+++,
